Attraction,Region,County,District,CRU,Postcode,Category,Visitors_2018,Visitors_2019,Visitors_2020,Visitors_2021,Visitors_2022,Visitors_2023,Estimate?,Visitor admission brackets,% change in admissions 2022 to 2023,% change in admissions 2019 to 2023,Charging,Charge band
Hexham Old Gaol,North East,Northumberland,,Rural,NE46 1XD,Museum and/or Art Gallery,7000,8421,0,6590,10863,10365,Exact,"10,001 to 20,000",-5%,23%,Yes,£5.00-£7.49
Aydon Castle,North East,Northumberland,Corbridge,Rural,,Castle / Fort,8927,8208,4377,7264,8601,8541,Exact,"10,000 or less",-1%,4%,Yes,£7.50-£9.99
Amersham Museum,South East,Buckinghamshire,Chiltern,Rural,HP7 0DP,Museum and/or Art Gallery,8966,8201,Not available,3053,4715,4940,Exact,"10,000 or less",5%,-40%,Yes,£5.00-£7.49
Weoley Castle,West Midlands,West Midlands,Birmingham,Rural,,Historic Monument / Archaeological Site,8282,8147,892,Not available,3149,4972,,"10,000 or less",58%,-39%,No,Not Applicable
Broadway Museum & Art Gallery,West Midlands,Worcestershire,Evesham,Rural,WR127DP,Museum and/or Art Gallery,Not available,8000,2146,Not available,6500,8436,Exact,"10,000 or less",30%,5%,Yes,£5.00-£7.49
Grimes Graves,East of England,Norfolk ,Thetford,Rural,,Historic Monument/ Archaeological Site,7361,7684,Closed,2414,0,Closed in 2023,Exact,Closed,Not available,Not available,Closed in 2023,Not Applicable
Fishermen's Lifeboat Museum,East of England,Norfolk,North Norfolk,Coastal,NR26 8JT,Heritage / Visitor Centre,9196,7642,Not available,901,7052,11336,Exact,"10,001 to 20,000",61%,48%,No,Not Applicable
The Red House - Aldeburgh,East of England,Suffolk ,,Coastal,IP15 5PZ,Historic House/ House and Garden / Palace,7708,7506,Not available,6166,7019,8409,Exact,"10,000 or less",20%,12%,Yes,£10.00-£14.99
Bradley Manor,South West,Devon,Teignbridge,Rural,,Historic House/ House and Garden / Palace,5620,7470,Closed,Not available,286,328,Exact,"10,000 or less",15%,-96%,Yes,Not available
Dickens House Museum & Information Point,South East,Kent,Thanet,Coastal,CT10 1QS,Museum and/or Art Gallery,6972,7462,Not available,0,6976,7826,Exact,"10,000 or less",12%,5%,Yes,£3.00- £4.99
Sherborne Old Castle,South West,Dorset,Sherborne,Rural,,Castle / Fort,8176,7418,3462,6155,4974,5620,Exact,"10,000 or less",13%,-24%,Yes,£7.50-£9.99
Mr Straw's House,East Midlands,Nottinghamshire,Worksop,Urban,,Historic House/ House and Garden / Palace,8098,7405,414,1769,2877,4505,Exact,"10,000 or less",57%,-39%,Yes,Not available
Belgrave Hall,East Midlands,Leicestershire,Leicester,Urban,,Historic House/ House and Garden / Palace,7313,7397,260,1253,5681,6987,Exact,"10,000 or less",23%,-6%,No,Not Applicable
Oxford Bus Museum Trust,South East,Oxfordshire,Witney,Rural,OX29 8LA,Museum and/or Art Gallery,10411,7295,Not available,Not available,6289,7151,Exact,"10,000 or less",14%,-2%,Yes,£7.50-£9.99
Goodnestone Park Gardens,South East,Kent,Canterbury,Rural,CT3 1PL,Garden,7298,7237,Not available,12361,13925,13576,Exact,"10,001 to 20,000",-3%,88%,Yes,£7.50-£9.99
Roche Abbey,Y&H,South Yorkshire,Rotherham,Rural,,Historic Monument / Archaeological Site,6085,7214,6280,7388,7033,6759,Exact,"10,000 or less",-4%,-6%,Yes,£5.00-£7.49
Kirkham Priory,Y&H,North Yorkshire,Ryedale,Rural,,Historic Monument / Archaeological Site,6719,7071,4417,7749,7646,6889,Exact,"10,000 or less",-10%,-3%,Yes,£5.00-£7.49
Elizabeth Gaskell's House,North West,Greater Manchester,Manchester,Urban,M13 9LW,Historic House/ House and Garden / Palace,6305,7055,1603,2617,4326,5034,Exact,"10,000 or less",16%,-29%,Yes,£5.00-£7.49
Walpole St Peter's Church,East of England,Cambridgeshire,Cambridge,Rural,PE14 7NS,Place of Worship (still in use),6010,7050,1750,2300,Not available,7000,An Estimate,"10,000 or less",Not available,-1%,No,Not Applicable
Pendon Museum,South East,Oxfordshire,South Oxfordshire,Rural,OX14 4QD,Museum and/or Art Gallery,7545,7029,Not available,1983,4872,7436,An Estimate,"10,000 or less",53%,6%,Yes,£5.00-£7.49
Rainham Hall,London,Greater London,Rainham,Urban,,Historic House/ House and Garden / Palace,12529,6767,1310,1792,3317,3920,Exact,"10,000 or less",18%,-42%,Yes,Not available
Prudhoe Castle,North East,Northumberland,Prudhoe,Rural,,Castle / Fort,7560,6750,3855,6056,6306,6318,Exact,"10,000 or less",0%,-6%,Yes,£7.50-£9.99
Bodmin Town Museum,South West,Cornwall,,Urban,PL31 2HQ,Museum and/or Art Gallery,6957,6701,Not available,0,5654,5815,Exact,"10,000 or less",3%,-13%,No,Not Applicable
Lowewood Museum,East of England,Hertfordshire,Broxbourne,Urban,EN11 8BH,Museum and/or Art Gallery,5939,6595,Not available,1995,4213,5000,An Estimate,"10,000 or less",19%,-24%,No,Not Applicable
Ranger's House - The Wernher Collection,London,Greater London,London,Urban,,Historic House/ House and Garden / Palace,2545,6563,1965,3096,5450,5844,Exact,"10,000 or less",7%,-11%,Yes,£10.00-£14.99
"Lincoln, Medieval Bishop's Palace",East Midlands,Lincolnshire,Lincoln,Urban,,Historic House/ House and Garden / Palace,9793,6465,164,Not available,0,5715,Exact,"10,000 or less",Not available,-12%,Yes,£7.50-£9.99
Barnsole Vineyard,South East,Kent,Canterbury,Rural,CT3 1LG,Distillery / Vineyard or Brewery,4500,6000,Not available,4000,3000,3920,An Estimate,"10,000 or less",31%,-35%,No,Not Applicable
Thirsk Museum,Y&H,North Yorkshire,Hambleton,Rural,YO7 1PQ,Museum and/or Art Gallery,5664,5952,329,2835,3816,3717,Exact,"10,000 or less",-3%,-38%,No,Not Applicable
Farnborough Hall,West Midlands,Warwickshire,Farnborough,Rural,,Historic House/ House and Garden / Palace,5186,5814,Closed,2688,5449,5185,Exact,"10,000 or less",-5%,-11%,Yes,Not available
Malvern Museum,West Midlands,Worcestershire,Malvern,Rural,WR14 3ES,Museum and/or Art Gallery,5257,5628,0,0,3600,5506,Exact,"10,000 or less",53%,-2%,Yes,Under £3.00
The Pankhurst Centre,North West,Greater Manchester,Manchester,Urban,M13 9WP,Museum and/or Art Gallery,Not available,5580,Not available,1164,2890,4733,Exact,"10,000 or less",64%,-15%,No,Not Applicable
Heage Windmill,East Midlands,Derbyshire,Amber Valley,Rural,DE55 7QT,Heritage / Visitor Centre,7340,5556,0,4879,4807,1505,An Estimate,"10,000 or less",-69%,-73%,Yes,£5.00-£7.49
Brinkburn Priory,North East,Northumberland,Morpeth,Rural,,Historic Monument / Archaeological Site,5508,5552,4450,4417,5350,4639,Exact,"10,000 or less",-13%,-16%,Yes,£7.50-£9.99
Fireground,North West,Greater Manchester,Rochdale,Urban,OL11 1DN,Museum and/or Art Gallery,4479,5531,1265,6200,13920,11207,Exact,"10,001 to 20,000",-19%,103%,Yes,£5.00-£7.49
Buckingham Old Gaol Museum,South East,Buckinghamshire,Aylesbury Vale,Urban,MK18 1JX,Museum and/or Art Gallery,4024,5362,Not available,2843,3350,3616,An Estimate,"10,000 or less",8%,-33%,Yes,£3.00- £4.99
Seaford Museum and Heritage Society,South East,East Sussex,Lewes,Coastal,BN25 1JH,Museum and/or Art Gallery,Not available,5322,Not available,3476,7086,7743,Exact,"10,000 or less",9%,45%,Yes,£3.00- £4.99
Leeds Discovery Centre,Y&H,West Yorkshire,Leeds,Urban,,Museum and/or Art Gallery,5702,5195,1474,1354,4794,4902,,"10,000 or less",2%,-6%,No,Not Applicable
Muchelney Abbey,South West,Somerset,Muchelney,Rural,,Historic Monument / Archaeological Site,5758,5194,Closed,3909,4273,4366,Exact,"10,000 or less",2%,-16%,Yes,£7.50-£9.99
Lyddington Bede House,East Midlands,Rutland,,Rural,,Historic House/ House and Garden / Palace,4308,4730,1047,2574,4666,4716,Exact,"10,000 or less",1%,0%,Yes,£7.50-£9.99
Bawdsey Radar,East of England,Suffolk ,Suffolk Coastal,Rural,IP2 3BA,Heritage / Visitor Centre,4700,4700,Not available,2000,3000,3000,Exact,"10,000 or less",0%,-36%,Yes,£7.50-£9.99
Tewkesbury Museum,South West,Gloucestershire,Tewkesbury,Urban,GL20 5PX,Museum and/or Art Gallery,4675,4618,1913,1199,6001,4149,Exact,"10,000 or less",-31%,-10%,No,Not Applicable
Salcombe Maritime and Local History Museum,South West,Devon,South Hams,Coastal,TQ8 8DE,Museum and/or Art Gallery,1612,4287,Not available,2467,4710,4740,Exact,"10,000 or less",1%,11%,No,Not Applicable
Bolton Steam Museum,North West,Greater Manchester,Bolton,Urban,BL1 4EU,Museum and/or Art Gallery,4200,4230,525,1721,3775,3837,Exact,"10,000 or less",2%,-9%,No,Not Applicable
Rushton Triangular Lodge,East Midlands,Northamptonshire,Kettering,Rural,,Historic House/ House and Garden / Palace,4388,4216,Closed,Not available,0,Closed in 2023,Exact,Closed,Not available,Not available,Closed in 2023,Not Applicable
Princes Road Synagogue,North West,Merseyside,,Urban,L8 1TG,Place of Worship (still in use),4300,4200,Not available,Not available,Not available,3483,Exact,"10,000 or less",Not available,-17%,Yes,£5.00-£7.49
Museum 4 Watton,East of England,Norfolk,Thetford,Rural,IP25 6AG,Museum and/or Art Gallery,5000,4000,500,2499,3000,4000,Exact,"10,000 or less",33%,0%,No,Not Applicable
Ashford Borough Museum,South East,Kent,Ashford,Urban,TN23 1QC,Museum and/or Art Gallery,3443,3809,113,770,1868,1578,Exact,"10,000 or less",-16%,-59%,No,Not Applicable
Penshaw Monument,North East,Northumberland,Tyne And Wear,Rural,,Historic Monument / Archaeological Site,3692,3687,Closed,Not available,185,42,Exact,"10,000 or less",-77%,-99%,Yes,Not available
Ashdown House,South East,Oxfordshire,Wokingham,Rural,,Historic House/ House and Garden / Palace,3299,3663,Closed,Not available,2148,2095,Exact,"10,000 or less",-2%,-43%,Yes,Not available
East Grinstead Museum,South East,West Sussex,East Grinstead,Urban,RH19 3BJ,Museum and/or Art Gallery,Not available,3656,1037,1611,2536,3494,Exact,"10,000 or less",38%,-4%,No,Not Applicable
Burwell Museum of Fen Edge Village Life,East of England,Cambridgeshire,East Cambridgeshire,Rural,CB25 0HL,Museum and/or Art Gallery,3715,3534,867,Not available,Not available,Not available,,Not available,Not available,Not available,Yes,£5.00-£7.49
Richmondshire Museum,Y&H,North Yorkshire,Richmondshire,Rural,DL10 4JA,Museum and/or Art Gallery,3750,3518,Not available,Not available,2716,3740,Exact,"10,000 or less",38%,6%,Yes,£5.00-£7.49
Mr Hardman's Home Photographic Studio,North West,Merseyside,Liverpool,Urban,,Historic House/ House and Garden / Palace,3902,3498,70,715,1118,1175,Exact,"10,000 or less",5%,-66%,Yes,Not available
Tenterden and District Museum,South East,Kent,Ashford,Rural,TN30 6HN,Museum and/or Art Gallery,4304,3487,761,2229,3133,4570,Exact,"10,000 or less",46%,31%,Yes,£3.00- £4.99
Aldborough Roman Site,Y&H,North Yorkshire,Harrogate,Rural,,Historic Monument / Archaeological Site,2631,3389,1620,3453,4490,4941,Exact,"10,000 or less",10%,46%,Yes,£5.00-£7.49
Tynemouth Volunteer Life Brigade,North East,Tyne and Wear,North Tyneside,Coastal,NE30 4DD,Museum and/or Art Gallery,1250,3153,120,366,2428,2552,Exact,"10,000 or less",5%,-19%,No,Not Applicable
Ellenroad Engine House,North West,Greater Manchester,Rochdale,Coastal,,Industrial / Craft Workplace,Not available,3030,235,200,1658,1948,,"10,000 or less",17%,-36%,Yes,Not available
HorsePower - The Museum of The Kings Royal Hussars in Winchester,South East,Hampshire,Winchester,Urban,SO23 8TS,Museum and/or Art Gallery,2957,3013,817,Not available,2624,3601,Exact,"10,000 or less",37%,20%,Yes,£3.00- £4.99
Cranbrook Union Mill,South East,Kent,Tunbridge Wells,Rural,TN26 3AA,Other Historic Property,3222,2984,400,Not available,2000,2500,An Estimate,"10,000 or less",25%,-16%,No,Not Applicable
Hinckley and District Museum,East Midlands,Leicestershire,Hinckley and Bosworth,Urban,LE10 1QX,Museum and/or Art Gallery,3174,2976,51,727,1512,1865,Exact,"10,000 or less",23%,-37%,Yes,Under £3.00
Marble Hill House,London,Greater London,Richmond Upon Thames,Urban,,Historic House/ House and Garden / Palace,2679,2890,Closed,173,28780,19102,Exact,"10,001 to 20,000",-34%,561%,No,Not Applicable
Kirby Muxloe Castle,East Midlands,Leicestershire,,Rural,,Castle / Fort,3064,2831,Closed,1742,2985,3354,Exact,"10,000 or less",12%,18%,Yes,£7.50-£9.99
Diving Museum,South East,Hampshire,Gosport,Coastal,PO12 2QU,Museum and/or Art Gallery,2646,2813,Not available,1884,2573,2567,Exact,"10,000 or less",0%,-9%,Yes,£5.00-£7.49
Owletts - National Trust,South East,Kent,Gravesend,Rural,,Historic House/ House and Garden / Palace,2343,2701,Closed,Not available,Not available,2598,Exact,"10,000 or less",Not available,-4%,Yes,Not available
Wellington Museum,South West,Somerset,Taunton Deane,Urban,TA21 8AQ,Museum and/or Art Gallery,2500,2700,Not available,0,1781,2500,An Estimate,"10,000 or less",40%,-7%,No,Not Applicable
Tees Cottage Pumping Station,North East,Durham,Darlington,Urban,DL3 0LW,Other Historic Property,2400,2600,Not available,Not available,3941,4039,Exact,"10,000 or less",2%,55%,Yes,£5.00-£7.49
Astley Cheetham Art Gallery,North West,Greater Manchester,Tameside,Urban,OL7 0QA,Museum and/or Art Gallery,Not available,2559,460,1094,2416,2164,Exact,"10,000 or less",-10%,-15%,No,Not Applicable
EastChurch Aviation Museum,South East,Kent,Swale,Rural,ME12 4AA,Museum and/or Art Gallery,2988,2550,793,1807,2900,2600,An Estimate,"10,000 or less",-10%,2%,No,Not Applicable
Louth Museum,East Midlands,Lincolnshire,East Lindsey,Rural,LN11 0EQ,Museum and/or Art Gallery,2500,2500,327,1467,1536,2357,Exact,"10,000 or less",53%,-6%,Yes,£3.00- £4.99
South Foreland Lighthouse,South East,Kent,Dover,Coastal,,Other Historic Property,2569,2486,122,4487,7195,9508,Exact,"10,000 or less",32%,282%,Yes,Not available
Shardlow Heritage Centre,East Midlands,Derbyshire,South Derbyshire,Rural,DE72 2HD,Heritage / Visitor Centre,2095,2167,Not available,933,Not available,3199,Exact,"10,000 or less",Not available,48%,No,Not Applicable
Beccles and District Museum,East of England,Suffolk ,Waveney,Urban,NR34 9ND,Museum and/or Art Gallery,2216,2138,Not available,Not available,1294,1709,Exact,"10,000 or less",32%,-20%,No,Not Applicable
Great Yarmouth Row Houses,East of England,Norfolk,Great Yarmouth,Coastal,,Historic House/ House and Garden / Palace,2047,2060,Closed,Not available,0,Closed in 2023,Exact,Closed,Not available,Not available,Closed in 2023,Not Applicable
Hellens,West Midlands,Herefordshire,,Rural,HR8 2LY,Historic House/ House and Garden / Palace,2303,2036,4000,6000,12000,15250,An Estimate,"10,001 to 20,000",27%,649%,Yes,£7.50-£9.99
Forncett Industrial Steam Museum,East of England,Norfolk,South Norfolk,Rural,NR16 1JJ,Museum and/or Art Gallery,2000,2000,Not available,0,735,Not available,,Not available,Not available,Not available,Yes,£10.00-£14.99
Saxmundham Museum,East of England,Suffolk ,Suffolk Coastal,Rural,IP17 1AJ,Museum and/or Art Gallery,2000,2000,250,250,2000,2000,An Estimate,"10,000 or less",0%,0%,No,Not Applicable
Henfield Museum,South East,West Sussex,Horsham,Rural,BN5 9DB,Museum and/or Art Gallery,1351,1959,450,771,1298,1501,Exact,"10,000 or less",16%,-23%,No,Not Applicable
Wellesbourne Wartime Museum,West Midlands,Warwickshire,Stratford-on-Avon,Rural,B13 0HB,Museum and/or Art Gallery,2200,1950,Not available,250,600,Not available,,Not available,Not available,Not available,Yes,£3.00- £4.99
Pitstone Windmill,East of England,Buckinghamshire,Nr Berkhamsted,Rural,LU7 9ER,Other Historic Property,428,1936,Closed,241,259,1289,Exact,"10,000 or less",398%,-33%,Yes,Not available
Maldon Museum in the Park,East of England,Essex,Maldon,Coastal,CM9 5HX,Museum and/or Art Gallery,1776,1835,Not available,Not available,2132,2596,Exact,"10,000 or less",22%,41%,No,Not Applicable
Stanford Hall,East Midlands,Leicestershire,Harborough,Rural,LE17 6DH,Historic House/ House and Garden / Palace,1555,1835,Not available,740,944,825,Exact,"10,000 or less",-13%,-55%,Yes,£15 or Over
The Homewood,South East,Surrey,Esher,Rural,,Historic House/ House and Garden / Palace,2409,1764,40,658,803,875,Exact,"10,000 or less",9%,-50%,Yes,Not available
Nether Alderley Mill,North West,Cheshire,Macclesfield,Rural,,Other Historic Property,3849,1746,Closed,Not available,528,709,Exact,"10,000 or less",34%,-59%,Yes,Not available
Sturminster Newton Museum,South West,Dorset,North Dorset,Rural,DT10 2HL,Museum and/or Art Gallery,1681,1697,Not available,927,1500,1248,Exact,"10,000 or less",-17%,-26%,No,Not Applicable
Kenilworth Abbey Barn Museum,West Midlands,Warwickshire,Warwick,Urban,CV7 7RYL,Museum and/or Art Gallery,2277,1624,0,977,2043,2239,Exact,"10,000 or less",10%,38%,No,Not Applicable
St Mary's church,South West,Gloucestershire,Tewkesbury,Rural,GL19 4DS,Place of Worship (still in use),1500,1600,400,350,500,500,An Estimate,"10,000 or less",0%,-69%,No,Not Applicable
Sturminster Newton Mill,South West,Dorset,North Dorset,Rural,DT10 2DQ,Other Historic Property,1511,1591,Not available,1175,1846,1412,Exact,"10,000 or less",-24%,-11%,Yes,£5.00-£7.49
Wellington Aviation Museum,South West,Gloucestershire,Cotswold,Rural,GL56 0HB,Museum and/or Art Gallery,1428,1569,615,1233,2070,2044,Exact,"10,000 or less",-1%,30%,Yes,£3.00- £4.99
Royal Army Physical Training Corps Museum,South East,Hampshire,Rushmoor,Urban,GU11 2LB,Museum and/or Art Gallery,1400,1562,417,Not available,1253,1786,Exact,"10,000 or less",43%,14%,No,Not Applicable
Bilsthorpe Heritage Museum,East Midlands,Nottinghamshire,Newark and Sherwood,Rural,NG22 8QY,Museum and/or Art Gallery,1427,1514,295,185,1174,1618,Exact,"10,000 or less",38%,7%,No,Not Applicable
Thames Barge Sailing Trust,East of England,Essex,Maldon,Coastal,CM9 6FQ,Other Historic / Scenic Transport Operator,2000,1500,Not available,150,750,1200,An Estimate,"10,000 or less",60%,-20%,No,Not Applicable
Lutterworth Museum,East Midlands,Leicestershire,Harborough,Rural,LE17 4EH,Museum and/or Art Gallery,1200,1400,1200,Not available,1210,2650,Exact,"10,000 or less",119%,89%,No,Not Applicable
Redbourn Village Museum,East of England,Hertfordshire,St Albans,Rural,AL3 7NB,Museum and/or Art Gallery,1406,1354,85,355,1234,1001,An Estimate,"10,000 or less",-19%,-26%,No,Not Applicable
Swalcliffe Barn,South East,Oxfordshire,Cherwell,Rural,OX15 5DR,Museum and/or Art Gallery,548,1212,Not available,0,888,273,Exact,"10,000 or less",-69%,-77%,No,Not Applicable
Claverton Pumping Station,South West,Somerset,Bath and North East Somerset,Rural,BA2 7BH,Other Historic Property,1500,1200,Not available,150,471,511,Exact,"10,000 or less",8%,-57%,Yes,£5.00-£7.49
Aldeburgh Museum,East of England,Suffolk ,Suffolk Coastal,Coastal,IP15 5DS,Museum and/or Art Gallery,4878,1168,2868,5346,5889,6513,An Estimate,"10,000 or less",11%,458%,Yes,£3.00- £4.99
Oakhurst Cottage,South East,Surrey,Godalming,Rural,,Historic House/ House and Garden / Palace,1045,1114,Closed,5,102,624,Exact,"10,000 or less",512%,-44%,Yes,Not available
Medieval Merchants House,South East,Hampshire,Southampton,Rural,,Historic House/ House and Garden / Palace,1505,1095,298,503,1204,1040,Exact,"10,000 or less",-14%,-5%,Yes,£5.00-£7.49
Clun Town Trust Museum,West Midlands,Shropshire,,Rural,SY7 8JU,Museum and/or Art Gallery,1000,1091,0,793,1853,1847,Exact,"10,000 or less",0%,69%,No,Not Applicable
Nutley Mill,South East,East Sussex,Wealden,Rural,TN20 6UP,Industrial / Craft Workplace,1559,1036,70,660,979,737,Exact,"10,000 or less",-25%,-29%,No,Not Applicable
Windmill Hill Windmill,South East,East Sussex,Wealden,Rural,BN27 4RT,Heritage / Visitor Centre,996,916,78,202,540,750,An Estimate,"10,000 or less",39%,-18%,No,Not Applicable
Bancroft Mill Engine Museum,North West,Lancashire,Pendle,Rural,BB18 5QR,Museum and/or Art Gallery,770,895,Not available,450,785,1044,An Estimate,"10,000 or less",33%,17%,Yes,£5.00-£7.49
Priest's House,South West,Northamptonshire,South Kesteven,Rural,,Historic House/ House and Garden / Palace,Not available,874,956,Not available,726,1657,Exact,"10,000 or less",128%,90%,No,Not Applicable
Romsey Signal Box,South East,Hampshire,Test Valley,Urban,SO51 5AP,Heritage / Visitor Centre,755,857,392,740,1033,1134,Exact,"10,000 or less",10%,32%,Yes,Under £3.00
Tom Brown's School Museum,South East,Oxfordshire,Vale of White Horse,Rural,,Museum and/or Art Gallery,1095,838,18,398,761,1174,Exact,"10,000 or less",54%,40%,No,Not Applicable
Barton House Railway,East of England,Norfolk,Broadland,Rural,NR12 8TL,Steam  / Heritage Railway,824,815,0,233,653,580,Exact,"10,000 or less",-11%,-29%,Yes,£5.00-£7.49
